PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB
76667,Darrell Elston,career,1.0,0.4,1.2
2408,Melvin Ely,career,5.3,0.7,3.2
203954,Joel Embiid,2024-25,23.8,4.5,8.2
76668,Wayne Embry,career,12.5,1.4,9.1
2765,Andre Emmett,career,1.4,0.1,0.6
76669,Ned Endress,career,0.9,0.3,
76670,Chris Engler,career,1.8,0.2,2.0
76671,Wayne Englestad,career,2.5,0.6,1.5
76672,A.J. English,career,9.9,2.1,2.1
76673,Alex English,career,21.5,3.6,5.5
76674,Claude English,career,1.5,0.3,1.1
76676,Jojo English,career,3.6,0.9,1.1
203119,Kim English,career,2.9,0.6,0.9
76675,Scott English,career,3.2,0.5,1.5
76677,Gene Englund,career,7.8,0.9,
203898,Tyler Ennis,career,4.2,1.9,1.3
203516,James Ennis III,career,6.7,0.9,3.3
76678,Ray Epps,career,2.0,0.2,0.4
201623,Semih Erden,career,3.8,0.4,2.8
76679,Bo Erias,career,8.2,1.4,4.6
76680,Keith Erickson,career,9.5,2.6,4.5
76681,Julius Erving,career,22.0,3.9,6.7
1915,Evan Eschmeyer,career,2.8,0.5,3.9
76682,Jack Eskridge,career,2.8,0.6,
76683,Vincenzo Esposito,career,3.9,0.8,0.5
1630623,Tyson Etienne,2024-25,7.9,1.7,1.3
1629234,Drew Eubanks,2024-25,4.6,0.9,3.7
76687,Bob Evans,career,3.0,1.2,
967,Brian Evans,career,3.7,0.8,1.6
76685,Earl Evans,career,4.4,1.0,2.1
1628980,Jacob Evans,career,2.8,0.9,1.1
1628393,Jawun Evans,career,4.2,2.0,1.7
202379,Jeremy Evans,career,3.5,0.4,2.6
2230,Maurice Evans,career,6.7,0.7,2.5
76686,Mike Evans,career,7.7,2.6,1.4
2501,Reggie Evans,career,4.1,0.6,7.1
201936,Tyreke Evans,career,15.7,4.8,4.6
1641787,Tosan Evbuomwan,2024-25,9.5,2.0,4.3
101137,Daniel Ewing,career,3.4,1.4,1.2
121,Patrick Ewing,career,21.0,1.9,9.8
201607,Patrick Ewing,career,0.4,0.3,0.3
203957,Danté Exum,2024-25,8.7,2.8,1.7
201963,Christian Eyenga,career,6.3,0.8,2.7
203105,Festus Ezeli,career,4.2,0.4,4.3
76689,Johnny Ezersky,career,7.6,1.3,
76690,Joe Fabel,career,2.1,0.1,
76691,John Fairchild,career,2.0,0.4,1.5
1629605,Tacko Fall,career,2.2,0.2,2.4
76692,Phil Farbman,career,3.2,0.8,
202702,Kenneth Faried,career,11.4,1.0,8.1
76693,Dick Farley,career,6.5,1.8,2.5
200770,Jordan Farmar,career,7.7,2.9,1.9
2824,Desmon Farmer,career,2.4,1.0,0.6
76695,Jim Farmer,career,5.3,0.8,1.4
76694,Mike Farmer,career,6.7,1.3,4.6
1108,Tony Farmer,career,5.3,0.8,3.2
76696,Bob Faught,career,6.7,0.6,
203543,Vitor Faverani,career,4.4,0.4,3.5
202324,Derrick Favors,career,10.6,1.1,7.1
201174,Nick Fazekas,career,4.1,0.4,3.4
76697,Dave Fedor,career,0.9,0.1,0.9
76698,Bob Feerick,career,13.3,2.0,
76699,Butch Feher,career,5.2,0.8,1.5
994,Jamie Feick,career,4.5,0.7,7.1
76701,Ron Feiereisel,career,3.0,0.6,0.6
76702,George Feigenbaum,career,3.1,1.1,1.4
76703,Dave Feitl,career,4.3,0.5,3.0
1627770,Kay Felder,career,3.8,1.3,1.0
1626245,Cristiano Felicio,career,4.3,0.7,3.9
203467,Carrick Felix,career,2.7,0.6,0.9
101230,Noel Felix,career,1.5,0.2,1.1
76704,Ray Felix,career,10.9,0.7,8.9
101109,Raymond Felton,career,11.2,5.2,3.0
76705,Jake Fendley,career,2.8,0.9,1.2
